X,Y
0,0
0.0320942,0.263068
0.0643693,0.521817
0.0968138,0.776016
0.129416,1.02543
0.162162,1.26983
0.19504,1.50898
0.228036,1.74263
0.261136,1.97054
0.294324,2.19248
0.327586,2.4082
0.360906,2.61745
0.394268,2.81999
0.427654,3.01558
0.461048,3.20398
0.494432,3.38494
0.527788,3.55823
0.561097,3.72361
0.59434,3.88084
0.627497,4.02969
0.66055,4.16994
0.693478,4.30137
0.726261,4.42375
0.758878,4.53687
0.791308,4.64054
0.823529,4.73453
0.855522,4.82248
0.887264,4.90808
0.918733,4.99125
0.949909,5.0719
0.980769,5.14997
1.01129,5.22537
1.04146,5.29803
1.07124,5.36788
1.10062,5.43485
1.12958,5.49887
1.1581,5.55988
1.18615,5.61782
1.21372,5.67262
1.24079,5.72423
1.26733,5.7726
1.29332,5.81768
1.31876,5.85943
1.34362,5.89779
1.36788,5.93274
1.39152,5.96424
1.41454,5.99226
1.43691,6.01678
1.45862,6.03776
1.47965,6.0552
1.5,6.06908
1.52035,6.07963
1.54138,6.0871
1.56309,6.09147
1.58546,6.09275
1.60848,6.09095
1.63212,6.08607
1.65638,6.07813
1.68124,6.06715
1.70668,6.05315
1.73267,6.03614
1.75921,6.01616
1.78628,5.99323
1.81385,5.96739
1.8419,5.93869
1.87042,5.90714
1.89938,5.87281
1.92876,5.83573
1.95854,5.79595
1.98871,5.75352
2.01923,5.7085
2.05009,5.66094
2.08127,5.61089
2.11274,5.55842
2.14448,5.50358
2.17647,5.44645
2.20869,5.38058
2.24112,5.29967
2.27374,5.20399
2.30652,5.09381
2.33945,4.96943
2.3725,4.83114
2.40566,4.67925
2.4389,4.51407
2.47221,4.33592
2.50557,4.14513
2.53895,3.94204
2.57235,3.72697
2.60573,3.50028
2.63909,3.26231
2.67241,3.0134
2.70568,2.7539
2.73886,2.48418
2.77196,2.20457
2.80496,1.91543
2.83784,1.61711
2.87058,1.30996
2.90319,0.994328
2.93563,0.670563
2.96791,0.339007
3,0
